day,mode,warehouse_inventory,in_transit_inventory,current_inventory,capacity,demand_mean,demand_std,future_deficit,stockout_imminent,shipping_method,order_quantity,lead_time,safety_stock,reorder_point
730,build,500,0,500,30,10.43,9.34,3142,False,TRUCK,200,14,216,3142
731,build,490,0,490,30,10.77,9.24,3249,False,TRUCK,200,14,214,3249
732,build,477,0,477,30,9.9,7.69,3288,False,TRUCK,200,14,178,3288
733,build,465,0,465,30,9.6,7.82,3399,False,TRUCK,200,14,181,3399
734,build,463,0,463,30,9.53,7.8,3625,False,TRUCK,200,14,181,3625
735,build,452,0,452,30,9.7,7.68,3779,False,TRUCK,200,14,178,3779
736,build,445,0,445,30,8.97,7.42,3687,False,TRUCK,200,14,172,3687
737,build,444,200,644,30,9.03,7.43,4003,False,TRUCK,200,14,172,4003
738,build,433,200,633,30,9.03,7.43,4001,False,TRUCK,200,14,172,4001
739,build,428,200,628,30,8.8,7.5,3603,False,TRUCK,200,14,174,3603
740,build,425,200,625,30,8.7,7.52,2407,False,TRUCK,200,14,174,2407
741,build,419,200,619,30,8.43,7.61,3707,False,TRUCK,200,14,177,3707
742,build,417,200,617,30,8.43,7.61,4160,False,TRUCK,200,14,177,4160
743,build,406,200,606,30,8.2,7.7,4538,False,TRUCK,200,14,179,4538
744,build,604,200,804,30,8.4,7.7,4263,False,TRUCK,200,14,178,4263
745,build,593,200,793,30,8.73,7.8,4121,False,TRUCK,200,14,181,4121
746,build,577,200,777,30,8.73,7.8,4055,False,TRUCK,200,14,181,4055
747,build,550,200,750,30,8.77,7.78,4457,False,TRUCK,200,14,180,4457
748,build,546,200,746,30,9.33,7.81,4452,False,TRUCK,200,14,181,4452
749,build,528,200,728,30,9.5,7.75,4516,False,TRUCK,200,14,180,4516
750,build,519,400,919,30,9.37,7.47,4786,False,TRUCK,200,14,173,4786
751,build,696,200,896,30,9.6,7.34,4635,False,TRUCK,200,14,170,4635
752,build,687,200,887,30,9.77,7.47,4321,False,TRUCK,200,14,173,4321
753,build,669,200,869,30,10.23,7.34,4564,False,TRUCK,200,14,170,4564
754,build,654,200,854,30,9.47,6.7,4454,False,TRUCK,200,14,156,4454
755,build,650,200,850,30,9.6,6.61,4732,False,TRUCK,200,14,153,4732
756,build,643,200,843,30,9.27,6.48,4474,False,TRUCK,200,14,150,4474
757,build,836,200,1036,30,9.73,6.44,4863,False,TRUCK,200,14,149,4863
758,build,820,200,1020,30,9.63,6.49,4494,False,TRUCK,200,14,151,4494
759,build,815,200,1015,30,9.73,6.42,4675,False,TRUCK,200,14,149,4675
760,build,808,200,1008,30,9.6,6.46,4639,False,TRUCK,200,14,150,4639
761,build,802,200,1002,30,9.43,6.43,4609,False,TRUCK,200,14,149,4609
762,build,794,200,994,30,9.23,6.44,4608,False,TRUCK,200,14,149,4608
763,build,788,200,988,30,9.4,6.31,4592,False,TRUCK,200,14,146,4592
764,build,981,200,1181,30,9.23,6.33,4606,False,TRUCK,200,14,147,4606
765,build,975,200,1175,30,9.27,6.32,5051,False,TRUCK,200,14,147,5051
766,build,967,200,1167,30,9.93,6.48,4733,False,TRUCK,200,14,150,4733
767,build,946,200,1146,30,10.07,6.54,4934,False,TRUCK,200,14,152,4934
768,build,931,200,1131,30,10.2,6.47,5205,False,TRUCK,200,14,150,5205
769,build,922,200,1122,30,11.13,7.36,5283,False,TRUCK,200,14,171,5283
770,build,891,400,1291,30,11.47,7.34,5372,False,TRUCK,200,14,170,5372
771,build,1075,200,1275,30,11.8,7.12,5056,False,TRUCK,200,14,165,5056
772,build,1063,200,1263,30,11.5,7.34,5679,False,TRUCK,200,14,170,5679
773,build,1061,200,1261,30,11.83,7.12,5071,False,TRUCK,200,14,165,5071
774,build,1049,200,1249,30,12.47,7.85,5260,False,TRUCK,200,14,182,5260
775,build,1019,200,1219,30,12.97,8.53,5311,False,TRUCK,200,14,198,5311
776,build,988,200,1188,30,12.5,8.11,5198,False,TRUCK,200,14,188,5198
777,build,1175,200,1375,30,12.87,7.96,5264,False,TRUCK,200,14,185,5264
778,build,1160,200,1360,30,12.57,7.93,5394,False,TRUCK,200,14,184,5394
779,build,1151,200,1351,30,12.77,7.91,5652,False,TRUCK,200,14,183,5652
780,build,1136,200,1336,30,12.9,8.12,5600,False,TRUCK,200,14,188,5600
781,build,1109,200,1309,30,14.63,11.92,6110,False,TRUCK,200,14,276,6110
782,build,1048,200,1248,30,14.53,11.9,6027,False,TRUCK,200,14,276,6027
783,build,1033,200,1233,30,14.47,11.91,5130,False,TRUCK,200,14,276,5130
784,build,1220,200,1420,30,14.6,11.81,5633,False,TRUCK,200,14,274,5633
785,build,1212,200,1412,30,14.97,11.73,5495,False,TRUCK,200,14,272,5495
786,build,1194,200,1394,30,15.0,11.71,5758,False,TRUCK,200,14,271,5758
787,build,1186,200,1386,30,15.07,11.72,6171,False,TRUCK,200,14,272,6171
788,build,1168,200,1368,30,15.93,11.91,6173,False,TRUCK,200,14,276,6173
789,build,1137,200,1337,30,17.03,12.57,6290,False,TRUCK,200,14,291,6290
790,build,1097,400,1497,30,17.6,12.43,5982,False,TRUCK,200,14,288,5982
791,build,1274,200,1474,30,17.47,12.56,5642,False,TRUCK,200,14,291,5642
792,build,1270,200,1470,30,17.9,12.37,5812,False,TRUCK,200,14,287,5812
793,build,1251,200,1451,30,18.5,12.26,5384,False,TRUCK,200,14,284,5384
794,drawdown,1226,200,1426,30,19.17,12.1,5668,False,TRUCK,200,14,280,3000
795,drawdown,1200,200,1400,30,20.2,12.44,6371,False,TRUCK,200,14,288,3000
796,drawdown,1161,200,1361,30,20.43,12.52,6223,False,TRUCK,200,14,290,3000
797,drawdown,1333,200,1533,30,20.9,12.57,6671,False,TRUCK,200,14,291,3000
798,drawdown,1304,200,1504,30,22.1,13.1,6155,False,TRUCK,200,14,303,3000
799,drawdown,1259,200,1459,30,21.83,12.99,6813,False,TRUCK,200,14,301,3000
800,drawdown,1236,200,1436,30,22.13,12.96,6625,False,TRUCK,200,14,300,3000
801,drawdown,1211,200,1411,30,22.33,12.84,6465,False,TRUCK,200,14,297,3000
802,drawdown,1193,200,1393,30,23.67,12.73,5930,False,TRUCK,200,14,295,3000
803,drawdown,1151,200,1351,30,24.27,12.59,6030,False,TRUCK,200,14,292,3000
804,drawdown,1321,200,1521,30,24.7,13.01,6049,False,TRUCK,200,14,301,3000
805,drawdown,1278,200,1478,30,24.77,13.05,6100,False,TRUCK,200,14,302,3000
806,drawdown,1245,200,1445,30,25.97,13.57,5741,False,TRUCK,200,14,314,3000
807,drawdown,1196,200,1396,30,26.27,13.42,5956,False,TRUCK,200,14,311,3000
808,drawdown,1172,200,1372,30,26.73,13.04,5753,False,TRUCK,200,14,302,3000
809,drawdown,1149,200,1349,30,27.63,13.13,6158,False,TRUCK,200,14,304,3000
810,drawdown,1107,400,1507,30,27.57,13.14,6426,False,TRUCK,200,14,304,3000
811,drawdown,1282,200,1482,30,26.4,11.52,5840,False,TRUCK,200,14,267,3000
812,drawdown,1256,200,1456,30,27.53,12.03,6319,False,TRUCK,200,14,279,3000
813,drawdown,1207,200,1407,30,28.47,11.94,6113,False,TRUCK,200,14,277,3000
814,drawdown,1166,200,1366,30,28.7,11.59,6204,False,TRUCK,200,14,269,3000
815,drawdown,1151,200,1351,30,28.8,11.51,5939,False,TRUCK,200,14,267,3000
816,drawdown,1130,200,1330,30,29.73,10.88,5868,False,TRUCK,200,14,252,3000
817,drawdown,1294,200,1494,30,30.43,10.78,6203,False,TRUCK,200,14,250,3000
818,drawdown,1255,200,1455,30,29.77,11.35,5920,False,TRUCK,200,14,263,3000
819,drawdown,1244,200,1444,30,29.83,11.41,6067,False,TRUCK,200,14,264,3000
820,build,1202,200,1402,50,30.4,11.48,2054,False,TRUCK,200,11,236,2054
821,build,1162,200,1362,50,30.7,10.87,1979,False,TRUCK,200,11,223,1979
822,build,1149,200,1349,50,31.37,10.74,2065,False,TRUCK,200,11,221,2065
823,build,1110,200,1310,50,31.53,10.68,2211,False,TRUCK,200,11,219,2211
824,build,1280,200,1480,50,31.37,10.81,1737,False,TRUCK,200,11,222,1737
825,build,1259,200,1459,50,31.67,11.15,2069,False,TRUCK,200,11,229,2069
826,build,1211,200,1411,50,32.23,11.38,2044,False,TRUCK,200,11,234,2044
827,build,1166,200,1366,50,31.83,11.71,2178,False,TRUCK,200,11,240,2178
828,build,1149,400,1549,50,32.57,13.16,2473,False,TRUCK,200,11,270,2473
829,build,1082,400,1482,50,33.0,13.05,2582,False,TRUCK,200,11,268,2582
830,build,1046,400,1446,50,33.37,12.97,2035,False,TRUCK,200,11,266,2035
831,build,1210,200,1410,50,35.47,15.29,2182,False,TRUCK,200,11,314,2182
832,build,1129,400,1529,50,35.13,15.25,2761,False,TRUCK,200,11,313,2761
833,drawdown,1097,400,1497,50,36.23,16.04,3044,False,TRUCK,200,11,329,3000
834,build,1034,400,1434,50,36.63,16.36,2993,False,TRUCK,200,11,336,2993
835,build,1179,200,1379,50,37.47,16.8,3073,False,TRUCK,200,11,345,3073
836,drawdown,1121,400,1521,50,37.47,16.8,2857,False,TRUCK,200,11,345,3000
837,drawdown,1072,400,1472,50,38.73,17.17,2914,False,TRUCK,200,11,353,3000
838,drawdown,1010,400,1410,50,40.83,18.94,3065,False,TRUCK,200,11,389,3000
839,drawdown,1124,200,1324,50,41.57,19.41,2850,False,TRUCK,200,11,398,3000
840,drawdown,1060,400,1460,50,43.6,20.76,4251,False,TRUCK,200,11,426,3000
841,drawdown,974,400,1374,50,44.5,20.56,3962,False,TRUCK,200,11,422,3000
842,drawdown,921,400,1321,50,45.03,20.88,4159,False,TRUCK,200,11,429,3000
843,drawdown,1056,200,1256,50,45.37,20.9,3893,False,TRUCK,200,11,429,3000
844,drawdown,1005,400,1405,50,45.47,20.75,3617,False,TRUCK,200,11,426,3000
845,drawdown,987,400,1387,50,46.77,20.39,3432,False,TRUCK,200,11,418,3000
846,drawdown,927,400,1327,50,47.3,20.3,3401,False,TRUCK,200,11,417,3000
847,drawdown,1075,200,1275,50,47.03,20.47,2644,False,TRUCK,200,11,420,3000
848,drawdown,1044,400,1444,50,48.0,19.36,3114,False,TRUCK,200,11,397,3000
849,drawdown,1004,400,1404,50,48.4,19.36,2855,False,TRUCK,200,11,397,3000
850,drawdown,950,400,1350,50,48.97,19.35,2672,False,TRUCK,200,11,397,3000
851,drawdown,1093,200,1293,50,50.77,18.38,3212,False,TRUCK,200,11,377,3000
852,drawdown,1026,400,1426,50,51.77,18.53,3368,False,TRUCK,200,11,380,3000
853,drawdown,957,400,1357,50,52.7,18.1,3494,False,TRUCK,200,11,372,3000
854,drawdown,899,400,1299,50,53.57,17.13,3311,False,TRUCK,200,11,352,3000
855,drawdown,1052,200,1252,50,53.73,17.09,3410,False,TRUCK,200,11,351,3000
856,drawdown,999,400,1399,50,53.67,17.13,3328,False,TRUCK,200,11,352,3000
